"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"White-nonwhite couple" 0.0354638289591407 0.033 0.0446733333333333 0.0464333333333333 0.026607692320005 0.039392307679995 0.0357584293212113 0.0535882373454554 0.037079478994814 0.0557871876718527 0.311910245281724 0.351415091150532 0.99380046903882 0.99302075044933
"Only one parent" 0.0230389702235312 0.0203333333333333 0.01852 0.0188533333333333 0.0152828735232609 0.0253837931434057 0.0129269017512487 0.0241130982487513 0.0129895196376623 0.0247171470290043 0.255629403885335 0.310653949457065 0.99491341752322 0.993825285002871
"At least one biological child present" 0.490339912618986 0.491 0.492793333333333 0.492393333333333 0.473110957292157 0.508889042707843 0.473663895470435 0.511922771196232 0.47355921111848 0.511227455548187 0.125300797017807 0.0977142961024851 0.997500248476808 0.998049525862099
"One grandchild present" 0.0316951964174259 0.0266666666666667 0.0332466666666667 0.0341533333333333 0.0209016226415412 0.0324317106917922 0.0260235423438564 0.040469790989477 0.0263362908044149 0.0419703758622517 0.210926887055571 0.308285408274757 0.995799183561577 0.993872074832746
"At least three generations present" 0.0407275739072034 0.039 0.0391 0.03978 0.0320724214153189 0.0459275785846811 0.0316021216483922 0.0465978783516078 0.0317461241803609 0.0478138758196391 0.144131737810843 0.241886020460782 0.997125650942279 0.995185570454854
"Couples with age difference less than 5" 0.493786977333621 0.49 0.41476 0.421506666666667 0.472111637309026 0.507888362690974 0.396573306910881 0.432946693089119 0.402819765033931 0.440193568299403 0.0602703785866123 0.105813107406955 0.998796043686324 0.997888206959537
"HH older than spouse, White HH" 0.320027623981603 0.335 0.332026666666667 0.329286666666667 0.318110348446656 0.351889651553344 0.313493258981738 0.350560074351595 0.309977576487781 0.348595756845552 0.173050859419275 0.241185599678762 0.996550920136307 0.995199444503549
"White HH with Hispanic origin" 0.075604037278136 0.068 0.0658733333333333 0.06522 0.0589915540700165 0.0770084459299835 0.0562043765505327 0.0755422901161339 0.0556433128656752 0.0747966871343248 0.157059467703277 0.148680755735739 0.99686864681921 0.997035201056236
"Only one adult female in house with at least one child less than 5" 0.0934362192167035 0.0883333333333333 0.0849466666666667 0.0849533333333333 0.0781786166464223 0.0984880500202444 0.0741814981455881 0.0957118351877452 0.0740940434587625 0.0958126232079042 0.141031713311065 0.155770878122726 0.997187299333659 0.996894258120342
"Only one adult Hispanic male in house with at least one child less than 10" 0.0267019956190833 0.0203333333333333 0.0216266666666667 0.0219533333333333 0.0152828735232609 0.0253837931434057 0.015878868178295 0.0273744651550384 0.0160850399459048 0.0278216267207618 0.179731889319977 0.201403461442716 0.996418237352953 0.995988091018264
"Only one adult Black female in house with at least one child less than 18" 0.0298891955583296 0.0276666666666667 0.0266533333333333 0.0263133333333333 0.0217975401730844 0.0335357931602489 0.0203854246328619 0.0329212420338048 0.0203500525159503 0.0322766141507164 0.154308701024113 0.0774070931700528 0.996923321145867 0.998454251175065
"HH over 35, no children present" 0.415982988943288 0.414333333333333 0.41272 0.4116 0.396705957913777 0.43196070875289 0.394240940552811 0.431199059447189 0.392806809310138 0.430393190689862 0.091064998117472 0.121871994020891 0.998182011140691 0.997568486786858
"Male HH, own" 0.472417549297178 0.473333333333333 0.468873333333333 0.467346666666667 0.455466856333812 0.491199810332855 0.450266890029483 0.487479776637184 0.448524787368421 0.486168545964912 0.0788866580280782 0.100182188190605 0.998424752160191 0.9980003627968
"Black HH younger than 40, own" 0.00599112899972234 0.00533333333333333 0.00638 0.00645333333333333 0.00272702609798901 0.00793964056867765 0.00276903818315014 0.00999096181684986 0.0031596578287811 0.00974700883788557 0.376802363635111 0.242885534391188 0.992520319949741 0.995165772590331
"White HH younger than 25, own" 0.00297123925832932 0.000666666666666667 0.00383333333333333 0.00377333333333333 -0.000256961186258597 0.00159029451959193 0.000952118647641787 0.00671454801902488 0.00066469159431857 0.0068819750723481 0.410234767727978 0.500936167419722 0.991862073850316 0.990080655816775
"Hispanic HH older than 50, own" 0.029952085207168 0.0293333333333333 0.0279 0.0285866666666667 0.0232951926103164 0.0353714740563503 0.0209597549547099 0.0348402450452901 0.0216493068358191 0.0355240264975142 0.27859718076167 0.260803980472858 0.994458930909308 0.994810986697026
"2 generations present, Black HH" 0.0585656888315103 0.051 0.0532 0.0536533333333333 0.0431276270950711 0.0588723729049289 0.0448083390263189 0.0615916609736811 0.0450653813018253 0.0622412853648414 0.084069616408278 0.118390827442056 0.998321430006544 0.997637776762433
"3 generations present, White couple" 0.0128294883630418 0.012 0.01256 0.01382 0.00810366258399209 0.0158963374160079 0.00814912619896374 0.0169708738010363 0.00897984103706424 0.0186601589629358 0.183567650081459 0.254727431680621 0.996342076526694 0.994931274236301
"At least 2 generations present, Hispanic couple" 0.0399384868038531 0.034 0.0347466666666667 0.03494 0.0275149177978256 0.0404850822021744 0.0277494131562638 0.0417439201770695 0.027861095726537 0.042018904273463 0.122775528403508 0.138274717623937 0.997550504194766 0.997242132514477
"At least one stepchild" 0.0260244486476352 0.0263333333333333 0.0277533333333333 0.02852 0.0206034532492525 0.0320632134174142 0.0209334768088595 0.0345731898578071 0.0216362600682169 0.0354037399317831 0.256784499810623 0.250971437609766 0.994890550552203 0.995005640081578
"At least one adopted child, White couple" 0.0095556668319992 0.0113333333333333 0.0108666666666667 0.0112666666666667 0.00754549669231515 0.0151211699743515 0.00661711774175838 0.0151162155915749 0.00650674245858711 0.0160265908747462 0.23755603328206 0.369787376402353 0.995271345741328 0.992658547997453
"At least one biological child, Hispanic couple" 0.0378987263066215 0.0333333333333333 0.03326 0.0333133333333333 0.0269099297760821 0.0397567368905845 0.026350493928273 0.040169506071727 0.0262930947381295 0.0403335719285371 0.137496288715028 0.163151367201455 0.997257615579301 0.99674758537383
"At least two biological children, Black couple" 0.00918663511900383 0.00733333333333333 0.00772666666666667 0.00795333333333333 0.0042802412995845 0.0103864253670822 0.00442231092435153 0.0110310224089818 0.00458915888930376 0.0113175077773629 0.100819199687868 0.107259458807727 0.997987673628928 0.997859402809768
