"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"Only one adult Hispanic male in house with at least one child less than 10" 0.0267019956190833 0.0203333333333333 0.01914 0.0195 0.0152828735232609 0.0253837931434057 0.0138711896047859 0.0244088103952141 0.0139466858274258 0.0250533141725742 0.133948060801263 0.205901062810996 0.997328196442083 0.995898867295432
"Only one adult Black female in house with at least one child less than 18" 0.0298891955583296 0.0276666666666667 0.02664 0.0267 0.0217975401730844 0.0335357931602489 0.0203678048204378 0.0329121951795622 0.0203742363180671 0.0330257636819329 0.155872208425607 0.168266493144691 0.996892244087036 0.996645957596169
"HH over 35, no children present" 0.415982988943288 0.414333333333333 0.40928 0.408353333333333 0.396705957913777 0.43196070875289 0.390357281618013 0.428202718381987 0.389527765126725 0.427178901539942 0.135318065840176 0.126994477377949 0.997300943305826 0.997466545147939
"Male HH, own" 0.472417549297178 0.473333333333333 0.4622 0.465286666666667 0.455466856333812 0.491199810332855 0.442469186447521 0.481930813552479 0.445471895416495 0.485101437916838 0.182235368323661 0.188406938842616 0.996368528285237 0.996246006790528
"Black HH younger than 40, own" 0.00599112899972234 0.00533333333333333 0.00938 0.00898666666666667 0.00272702609798901 0.00793964056867765 0.00511556502754197 0.013644434972458 0.00469639415410994 0.0132769391792234 0.345154013587378 0.379778629225954 0.993144245551534 0.992461685232463
"White HH younger than 25, own" 0.00297123925832932 0.000666666666666667 0.00506666666666667 0.00387333333333333 -0.000256961186258597 0.00159029451959193 0.00161907664537263 0.0085142566879607 0.00065610930256844 0.00709055736409823 0.456065842710714 0.521670585049532 0.99096112954719 0.989674320365726
"Hispanic HH older than 50, own" 0.029952085207168 0.0293333333333333 0.0293666666666667 0.0303333333333333 0.0232951926103164 0.0353714740563503 0.0225872672195785 0.0361460661137549 0.0230510428689744 0.0376156237976922 0.205627977425455 0.289376901880513 0.995904284326093 0.994245764817386
"2 generations present, Black HH" 0.0585656888315103 0.051 0.0540733333333333 0.0542733333333333 0.0431276270950711 0.0588723729049289 0.0454238699244844 0.0627227967421823 0.0453937685506413 0.0631528981160254 0.124461954421695 0.166282664567509 0.997516941837004 0.996685370018757
"3 generations present, White couple" 0.0128294883630418 0.012 0.01166 0.0113266666666667 0.00810366258399209 0.0158963374160079 0.00737394081748125 0.0159460591825187 0.00704272670522273 0.0156106066281106 0.196523111579602 0.21840423401442 0.996084925819608 0.995650912502184
"At least 2 generations present, Hispanic couple" 0.0399384868038531 0.034 0.03366 0.0336733333333333 0.0275149177978256 0.0404850822021744 0.0265911070523207 0.0407288929476793 0.02660841802172 0.0407382486449467 0.166335371588499 0.16507980090735 0.996684322856026 0.996709268647384
"At least one stepchild" 0.0260244486476352 0.0263333333333333 0.0265866666666667 0.0264933333333333 0.0206034532492525 0.0320632134174142 0.0203257763511349 0.0328475569821984 0.0199399351049238 0.0330467315617428 0.154473434464991 0.230737763341338 0.996920046729893 0.995406442875109
"At least one adopted child, White couple" 0.0095556668319992 0.0113333333333333 0.0112933333333333 0.0116466666666667 0.00754549669231515 0.0151211699743515 0.00713604804008048 0.0154506186265862 0.00747366881080482 0.0158196645225285 0.172578681484322 0.153445658505186 0.996560298752434 0.996940476242649
"At least one biological child, Hispanic couple" 0.0378987263066215 0.0333333333333333 0.0325733333333333 0.0325266666666667 0.0269099297760821 0.0397567368905845 0.0255870644333257 0.039559602233341 0.0256261333073419 0.0394272000259915 0.173111414508948 0.153648588318366 0.996549717375931 0.996936442459459
"At least two biological children, Black couple" 0.00918663511900383 0.00733333333333333 0.00837333333333333 0.00851333333333333 0.0042802412995845 0.0103864253670822 0.00475146456077284 0.0119952021058938 0.00501711689718227 0.0120095497694844 0.189305799487419 0.115706579525092 0.996228164616508 0.997691211250479
