"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"Non-White couple, own" 0.0629418591129474 0.0613333333333333 0.0496266666666667 0.04644 0.0527473222317416 0.0699193444349251 0.0404309953061076 0.0588223380272257 0.0374232084073496 0.0554567915926504 0.285392567461317 0.302098576882788 0.994324543313877 0.993994314642339
"Same race couple" 0.662953013126138 0.666333333333333 0.640726666666667 0.63622 0.649460436747004 0.683206229919663 0.621172421253016 0.660280912080317 0.612222845768253 0.660217154231747 0.228839426223052 0.484435916579879 0.995444063035556 0.990404252166344
"White-nonwhite couple" 0.0354638289591407 0.0376666666666667 0.0490533333333333 0.05338 0.0308538167367239 0.0444795165966094 0.0385557671961763 0.0595508994704904 0.0414825077377832 0.0652774922622168 0.457109721383778 0.541846430094057 0.990940628111522 0.989279251385414
"Only one parent" 0.0230389702235312 0.0223333333333333 0.0310666666666667 0.0305133333333333 0.0170457205753607 0.027620946091306 0.0236026163167823 0.038530717016551 0.0219564671395987 0.0390701995270679 0.30767697196939 0.481738761819078 0.993884095023095 0.990457167806917
"At least one biological child present" 0.490339912618986 0.499333333333333 0.503366666666667 0.506173333333333 0.481441407800117 0.51722525886655 0.483528792239902 0.523204541093431 0.485632136313252 0.526714530353415 0.186415806093112 0.241124892136759 0.996285532586878 0.995200647026625
"One grandchild present" 0.0316951964174259 0.0326666666666667 0.0451133333333333 0.0437133333333333 0.0263056292403002 0.0390277040930331 0.0354475491881674 0.0547791174784993 0.0327717686375405 0.0546548980291262 0.408846298344223 0.551822190704497 0.991889393859076 0.989084029679034
"At least three generations present" 0.0407275739072034 0.038 0.0432666666666667 0.0423 0.031158256346776 0.044841743653224 0.0343857076042065 0.0521476257291268 0.0325121884034263 0.0520878115965737 0.327431819699946 0.457668189292773 0.993493969235844 0.99092966033278
"Couples with age difference less than 5" 0.493786977333621 0.492333333333333 0.342233333333333 0.3498 0.474443495316919 0.510223171349748 0.323800722779756 0.360665943886911 0.329610455948698 0.369989544051302 0.151492042673185 0.285111553323679 0.996979311352406 0.994330100013374
"HH older than spouse, White HH" 0.320027623981603 0.31 0.311233333333333 0.30832 0.293450195955375 0.326549804044625 0.290801754460733 0.331664912205934 0.288341611552572 0.328298388447428 0.341889294190112 0.315345527145167 0.993208651900365 0.993732617279255
"White HH with Hispanic origin" 0.075604037278136 0.0803333333333333 0.08152 0.0813 0.0706069679477071 0.0900596987189596 0.0703054817207818 0.0927345182792182 0.0698633962960399 0.0927366037039601 0.237368474723596 0.268416457612675 0.995275061534263 0.994660335922079
"Only one adult female in house with at least one child less than 5" 0.0934362192167035 0.094 0.08718 0.08918 0.0835572353755404 0.10444276462446 0.0755711065124925 0.0987888934875074 0.0762148432140164 0.102145156785984 0.243563920905133 0.380580407632882 0.995152335903389 0.992445890766768
"Only one adult Hispanic male in house with at least one child less than 10" 0.0267019956190833 0.0266666666666667 0.0279733333333333 0.0279666666666667 0.0209016226415412 0.0324317106917922 0.0209776847882493 0.0349689818784174 0.0211353688426312 0.0347979644907021 0.288136456625419 0.253750690404467 0.994270289636325 0.994950611906209
"Only one adult Black female in house with at least one child less than 18" 0.0298891955583296 0.0306666666666667 0.0259466666666667 0.0254466666666667 0.0244970621801141 0.0368362711532192 0.0190753792743816 0.0328179540589517 0.0187443933707951 0.0321489399625382 0.314084139865978 0.292654923493852 0.993757530416476 0.994180960938749
"HH over 35, no children present" 0.415982988943288 0.407 0.399393333333333 0.398286666666667 0.389420277516095 0.424579722483905 0.380030983020713 0.418755683645954 0.378179551799443 0.41839378153389 0.180516131610677 0.240665443322892 0.996402664908084 0.995209748095507
"Male HH, own" 0.472417549297178 0.472 0.49344 0.49724 0.454136135156336 0.489863864843664 0.47316884283419 0.51371115716581 0.47515582228686 0.519324177713141 0.220841808534937 0.34308121937255 0.995602586484375 0.993185136645142
"Black HH younger than 40, own" 0.00599112899972234 0.00566666666666667 0.0118266666666667 0.01152 0.00298059685250944 0.0083527364808239 0.00666548776709223 0.0169878455662411 0.00680755893217695 0.016232441067823 0.437399523939139 0.342833688111145 0.991327873203861 0.993190020048631
"White HH younger than 25, own" 0.00297123925832932 0.00333333333333333 0.0100133333333333 0.00939333333333333 0.00127079607226696 0.00539587059439971 0.00489565670570838 0.0151310099609583 0.00455515367548784 0.0142315129911788 0.514347862554604 0.490044236082976 0.98981778674142 0.990294240310196
"Hispanic HH older than 50, own" 0.029952085207168 0.0306666666666667 0.03196 0.0326266666666667 0.0244970621801141 0.0368362711532192 0.0242802715129063 0.0396397284870937 0.0245045378385884 0.0407487954947449 0.327765507689007 0.386684822493073 0.993487382076621 0.992325654607853
"2 generations present, Black HH" 0.0585656888315103 0.06 0.0584 0.05802 0.051501798670951 0.068498201329049 0.0489111934803785 0.0678888065196215 0.0480526216539613 0.0679873783460387 0.217707547678035 0.295142215086367 0.995664725486098 0.9941317947999
"3 generations present, White couple" 0.0128294883630418 0.013 0.01404 0.01366 0.0089466163053433 0.0170533836946567 0.00822389292137123 0.0198561070786288 0.0072845257249845 0.0200354742750155 0.475088987818342 0.574448558043409 0.990587654279659 0.98864152601913
"At least 2 generations present, Hispanic couple" 0.0399384868038531 0.0386666666666667 0.0410733333333333 0.03988 0.0317675604451379 0.0455657728881954 0.0328482667035779 0.0492983999630887 0.0318657498585726 0.0478942501414274 0.254177078067681 0.236348120117337 0.994942170127016 0.995295276648051
"At least one stepchild" 0.0260244486476352 0.0293333333333333 0.0353133333333333 0.03462 0.0232951926103164 0.0353714740563503 0.0268873433437099 0.0437393233229567 0.0254475825183574 0.0437924174816426 0.384915146568301 0.49039407861014 0.992360508190823 0.990287378667581
"At least one adopted child, White couple" 0.0095556668319992 0.00866666666666667 0.00754 0.008 0.00534983550463 0.0119834978287033 0.00315924255694475 0.0119207574430553 0.0040271837087607 0.0119728162912393 0.499740013710049 0.355560964183286 0.990104107197891 0.992938993084871
"At least one biological child, Hispanic couple" 0.0378987263066215 0.036 0.0374466666666667 0.03632 0.0293338170113783 0.0426661829886217 0.0295087122612302 0.0453846210721031 0.0286436522264227 0.0439963477735773 0.267154646363243 0.239123342982614 0.994685303987411 0.995240296265719
"At least two biological children, Black couple" 0.00918663511900383 0.0116666666666667 0.0110466666666667 0.01036 0.0078241781350684 0.0155091551982649 0.00671802311755863 0.0153753102157747 0.00612335856135459 0.0145966414386454 0.253085643734867 0.268209077843113 0.994963779029827 0.994664439359123
